epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.097063,59.5506,2.657186,26.8685,0.00099975
2,0.729926,71.6972,2.784116,25.4494,0.00099901
3,0.665741,74.3347,3.049825,24.2195,0.00099778
4,0.608788,76.1561,3.226043,24.7398,0.00099606
5,0.611583,75.9196,3.341919,24.4087,0.00099384
6,0.590914,76.7002,3.501234,24.3614,0.00099114
7,0.572776,77.8238,3.560933,24.5506,0.00098796
8,0.539019,78.9237,3.617996,29.281,0.00098429
9,0.552117,78.0367,3.685671,27.0104,0.00098015
10,0.4997,80.5322,3.740988,28.9972,0.00097553
11,0.498724,80.5322,3.801292,23.2734,0.00097044
