epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.117854,58.9947,2.705887,28.9972,0.00099975
2,0.761858,70.9758,2.820933,25.4494,0.00099901
3,0.652528,74.5121,3.125827,23.8411,0.00099778
4,0.621085,75.4583,3.410429,23.8884,0.00099606
5,0.630842,75.4701,3.295973,23.3207,0.00099384
6,0.588327,76.9012,3.350038,23.0842,0.00099114
7,0.529522,79.1721,3.413789,25.7805,0.00098796
8,0.548979,77.8356,3.649584,26.2535,0.00098429
9,0.556699,77.9894,3.601372,25.1183,0.00098015
10,0.513491,78.9237,3.604308,25.4021,0.00097553
11,0.493766,80.5204,3.417157,27.5307,0.00097044
