epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.096306,59.8344,2.628182,28.4295,0.00099975
2,0.781562,69.8758,2.817606,26.1116,0.00099901
3,0.673956,73.0219,3.035824,22.8004,0.00099778
4,0.627953,75.0444,2.83441,21.1447,0.00099606
5,0.596227,76.3099,3.187839,21.9962,0.00099384
6,0.569093,77.1378,3.217203,21.0501,0.00099114
7,0.561917,78.3678,3.416617,25.9697,0.00098796
8,0.561639,77.8947,3.673342,24.2668,0.00098429
9,0.545292,78.4033,3.473415,25.0237,0.00098015
10,0.482731,81.0053,3.65868,24.3614,0.00097553
11,0.471056,81.5257,3.649373,23.9357,0.00097044
