fold,accuracy,macro_f1,weighted_f1,val_loss,stopped_epoch
1,0.23935666982024598,0.22970242076930275,0.2297001865731207,2.6281815549621292,11
2,0.2753074739829707,0.26327749173998616,0.2644893514747946,2.70588674563333,11
3,0.23273415326395458,0.23210804754962266,0.23231209807522168,2.657186476600091,11
4,0.2625354777672658,0.2547741159929367,0.25601103735053554,2.7152225190778894,11
5,0.21107430194036914,0.20736636040782147,0.20776563166886455,2.6874309422221727,11
mean,0.24420161535496127,0.23744568729193394,0.2380556610285074,,
std,0.02261017483369233,0.01980288384326202,0.020206057887954217,,
