epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.118643,59.2785,2.715223,27.2469,0.00099975
2,0.764143,70.3844,2.8337,24.6452,0.00099901
3,0.663296,73.9208,2.797811,24.6452,0.00099778
4,0.631313,75.0444,2.856203,24.5033,0.00099606
5,0.628469,75.3164,3.050091,22.7531,0.00099384
6,0.603446,76.026,3.409283,24.1722,0.00099114
7,0.537352,78.8527,3.607166,26.4428,0.00098796
8,0.515066,79.728,3.609771,24.3614,0.00098429
9,0.544099,78.5689,3.78817,22.1381,0.00098015
10,0.531625,78.6044,3.540374,27.6254,0.00097553
11,0.498036,80.2365,3.477756,26.2535,0.00097044
